date_found,source_platform,source_url,card_name,card_type,company_name,company_website,app_store_link,play_store_link,parent_company,issuing_bank,ceo_or_founders,contact_email,physical_address,phone_number,terms_conditions_url,privacy_policy_url,notes
2026-03-12,YouTube,https://www.youtube.com/watch?v=2xySRqNiUp8,YouTube Card,Debit,YouTube,https://www.youtube.com,,,Google LLC,,,,"Google LLC, D/B/A YouTube, 901 Cherry Ave. San Bruno, CA 94066 USA",,https://www.youtube.com/t/terms,https://www.youtube.com/t/privacy,Choise.com Visa Card: https://choise.com/card 1inch Card: https ... Best No-KYC Crypto Cards for Total Privacy! Captain Altcoin•56K ...
2026-03-12,Web (https://www.bleap.finance › en-us › blog › crypto-cards...),https://www.bleap.finance/en-us/blog/crypto-cards-without-kyc,Bleap Crypto Card,Prepaid,Bleap,https://www.bleap.finance,,,,,,privacy@bleap.finance,"9th Floor, 107 Cheapside, London, United Kingdom, EC2V 6DN",,https://old.bleap.finance/about/bleap-finance-terms-and-conditions,https://old.bleap.finance/about/privacy-policy,"While self-custodial crypto wallets can operate without KYC, cards connected to Visa or Mastercard must comply with financial regulations almost ..."
2026-03-12,Web (https://changelly.com › 1000+ Crypto Assets),https://changelly.com/buy/btc,Changelly Card,Debit/Credit,Changelly,https://changelly.com,https://apps.apple.com/us/app/changelly-exchange-buy-crypto/id1435140380,https://play.google.com/store/apps/details?id=com.changelly,,,,support@changelly.com,,,https://policies.google.com/terms,https://policies.google.com/privacy,"Buy Bitcoin instantly with a credit or debit card (MasterCard, Visa) from just $5 in 100 fiat currencies. ... ape btcbuy and send bitcoin no verificationhow to ..."
2026-03-12,Web (https://www.mexc.com › Crypto News),https://www.mexc.com/news/706978,MEXC Card,Unknown,MEXC,https://www.mexc.com,,,,,,dataprotect@support.mexc.com,,,,https://www.mexc.com/privacypolicy,"... crypto, best crypto payment processor no KYC, accept Visa Mastercard receive Bitcoin, no verification payment gateway, fiat card to ..."
2026-03-12,Web (5 answers · 1 month ago),https://www.quora.com/Where-can-I-buy-cryptocurrency-without-verification,Quora Card,Credit,Quora,https://www.quora.com,,,,,,,,,,,"It allows you to buy bitcoin with credit card with no verification. ... card like Visa or Mastercard. This is the most secure, quick, and ... | Could not fetch website"
2026-03-12,Web (https://www.perfectgift.com › personalized-visa-gift-card),https://www.perfectgift.com/personalized-visa-gift-card?srsltid=AfmBOoo3pdTS_acLdSZs2XFXK8_yivrvlHnTLrVFplfFiiWjcNwueOo6,Perfectgift Card,Unknown,Perfectgift,https://www.perfectgift.com,,,,,,,,,,,Physical personalized Visa gift card with greeting card. Printed and shipped same-day for orders placed by 4pm ET (Mon-Sat). | Could not fetch website
2026-03-12,Web (https://www.visa.com › ... › Personal › Cards › Prepaid),https://www.visa.com/en-us/personal/cards/prepaid/reloadable,Visa Inc. Card,"Credit, Debit, and Prepaid",Visa Inc.,https://www.visa.com,,,,,,,,,,,"Visa Reloadable Prepaid card is a secure way to pay online or in person, no credit check or bank account needed."
2026-03-12,Web (https://www.recharge.com › Home › Payment Cards),https://www.recharge.com/en/us/visa-gift-card,Visa Virtual Gift Card,Virtual,Recharge.com International B.V.,https://www.recharge.com,https://apps.apple.com/app/apple-store/id1547603137?pt=12113811&amp;ct=homepage_W2Abanner_ios&amp;mt=8,https://play.google.com/store/apps/details?id=com.recharge.app.prod&amp;referrer=utm_source%3Dhomepage_banner%26utm_medium%3Dinternal%26utm_campaign%3Dapp_install_drive,Coda,,,,,,,https://www.recharge.com/en/us/privacy-statement,Buy Visa® Virtual Gift Cards online ✓ Prepaid from $25 to $100 ✓ Receive your code instantly by email ✓ More than 23 safe payment methods.
2026-03-12,Web (https://majority.com › visa-debit-card › no-ssn),https://majority.com/en/visa-debit-card/no-ssn?srsltid=AfmBOoryCCiedVloPxbRUa2qBh7kISBkYkzVyXoACDtLYU1W6EXeNU6a,Majority Card,Debit,Majority,https://majority.com,,,,,,,,,,,"Get a free MAJORITY Visa Debit Card whether or not you have an SSN and save with cashback, discounts, no hidden fees, and more. | Could not fetch website"
2026-03-12,Web (https://corporate.visa.com › acceptance › verification),https://corporate.visa.com/en/solutions/acceptance/verification.html,Corporate Card,Unknown,Corporate,https://corporate.visa.com,,,,,,,,,,,Validate cardholder information and customer account credentials with Visa Acceptance Solutions. Reduce the risk of fraud and prevent declined transactions. | Could not fetch website
2026-03-12,Web (https://usa.visa.com › press-releases.releaseId.22206.html),https://usa.visa.com/about-visa/newsroom/press-releases.releaseId.22206.html,Visa Card,"Credit, Debit, and Prepaid",Visa Inc.,https://usa.visa.com,,,,,,,,,,,"Visa's stablecoin settlement pilot enables Visa issuers and acquirers, including those issuing Bridge-enabled cards, to settle with Visa using ..."
2026-03-12,App Store,https://apps.apple.com/ao/app/cheapest-visa-cards-bitsika/id1478570397,,Debit/Virtual,,https://apps.apple.com,https://apps.apple.com/us/iphone/today,,,,,,,,https://www.apple.com/legal/internet-services/,https://www.apple.com/legal/privacy/data/en/app-store/,"No ID or KYC Needed to Get Started. With Bitsika, you don't need to submit an ID or complete any KYC verification to create or top up your virtual Visa debit ..."
2026-03-12,App Store,https://apps.apple.com/fi/app/pyypl/id1499841532,âPyypl App,Unknown,,https://apps.apple.com,https://apps.apple.com/us/iphone/today,,,,,,,,https://www.apple.com/legal/internet-services/,https://www.apple.com/legal/privacy/data/en/app-store/,What's inside: • Digital VISA card ready in seconds • Shop at 50M+ locations worldwide • Subscribe to your favorite streaming services with Pyypl card ...
2026-03-12,App Store,https://apps.apple.com/us/app/paysera-super-app/id737308884?l=ko,âPaysera Super App ì±,Unknown,ê°ë°ì ëµë³,https://apps.apple.com,https://apps.apple.com/us/iphone/today,,,,,,,,https://www.apple.com/legal/internet-services/,https://www.apple.com/legal/privacy/data/en/app-store/,SECURITY • Unlock the app with a passcode or biometric data • Clients are identified following the latest AML and KYC ... no issue providing Visa cards.On top of ...
2026-03-12,Google Play,https://play.google.com/store/apps/details?id=com.icicibank.pockets&hl=en_IN,"Pockets-Bill Payment, Recharge",Virtual,,https://play.google.com,,https://play.google.com/store/apps/details?id\u003dcom.ustwo.monumentvalley\u0026rdid\u003dcom.ustwo.monumentvalley\u0026feature\u003dmd\u0026offerId,,,,,,,https://myaccount.google.com/termsofservice,https://policies.google.com/privacy,"Pockets is the first app in India to offer UPI Payments, Bharat QR code payments. With Pockets wallet, you instantly get a free virtual VISA card."
2026-03-12,Google Play,https://play.google.com/store/apps/details?id=com.ownrwallet.wallet&hl=es,OWNR Crypto wallet &amp; Visa Card - Aplicaciones en Google Play,Unknown,,https://play.google.com,,https://play.google.com/store/apps/details?id\u003dcom.ustwo.monumentvalley\u0026rdid\u003dcom.ustwo.monumentvalley\u0026feature\u003dmd\u0026offerId,,,,,,,https://myaccount.google.com/termsofservice,https://policies.google.com/privacy,"Nuestro servicio es un proceso de pago rápido y seguro, sin verificación KYC, entrega instantánea por correo electrónico. Más información en giftcards."
2026-03-12,Web (https://bfree.cards › crypto-virtual-visa-card-no-kyc),https://bfree.cards/crypto-virtual-visa-card-no-kyc/,Bfree Card,Virtual,Bfree,https://bfree.cards,,,,,,,,,,,How to Get a Crypto Virtual Visa Card With No KYC? Oct ... Terms and Conditions. Privacy Policy. Member. Sign up. Sign in. Bfree Cards are not just a cards; ...
2026-03-12,Web (https://washingtonbeerblog.com › using-visa-prepaid-ca...),https://washingtonbeerblog.com/using-visa-prepaid-cards-at-online-casinos-tips-and-best-practices/,Washingtonbeerblog Card,Prepaid,Washingtonbeerblog,https://washingtonbeerblog.com,,,,,,,,,http://depositphotos.com/,https://washingtonbeerblog.com/wpautoterms/privacy-policy/,Read Terms and Conditions. Focus on: Deposit and withdrawal fees ... Best Crypto Casinos for International Beer-Loving Players With No KYC & ...
